ì˙éû,ãCâ∑(Åé)
2022/10/23 1:00:00,12.7
2022/10/23 2:00:00,12.2
2022/10/23 3:00:00,12.0
2022/10/23 4:00:00,10.9
2022/10/23 5:00:00,10.8
2022/10/23 6:00:00,10.5
2022/10/23 7:00:00,11.3
2022/10/23 8:00:00,14.8
2022/10/23 9:00:00,18.3
2022/10/23 10:00:00,20.8
2022/10/23 11:00:00,22.4
2022/10/23 12:00:00,23.6
2022/10/23 13:00:00,23.8
2022/10/23 14:00:00,23.7
2022/10/23 15:00:00,23.2
2022/10/23 16:00:00,21.8
2022/10/23 17:00:00,19.4
2022/10/23 18:00:00,17.8
2022/10/23 19:00:00,16.5
2022/10/23 20:00:00,16.5
2022/10/23 21:00:00,15.9
2022/10/23 22:00:00,16.6
2022/10/23 23:00:00,17.5
2022/10/24 00:00:00,15.7
